bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
8989,,23,42,21,64,30,56,115.58,2.63,6.56,8646,M2III,6
5560,,14,57,1,-51,26,49,322.01,6.71,6.64,8839,M2III,6
2476,,6,40,49,-47,40,29,256.68,-21.40,6.65,8848,M2III,6
614,,2,6,12,8,14,51,152.67,-50.26,6.31,7013,M2III:,6
5301,,14,10,51,-16,18,7,329.16,42.49,4.91,1449,M2IIIa,6
7566,19    Cyg,19,50,34,38,43,21,73.57,6.20,5.12,1881,M2IIIa,6
6393,37    Oph,17,12,28,10,35,7,31.38,26.74,5.33,2391,M2IIIa,6
3820,,9,36,43,31,9,42,195.41,47.63,5.56,3073,M2IIIa,6
2189,,6,12,20,32,41,36,179.58,6.84,5.78,3962,M2IIIa,6
8163,9    Equ,21,21,5,7,21,16,59.19,-28.55,5.82,4178,M2IIIa,6
5677,,15,14,10,42,10,17,69.70,57.34,6.13,5829,M2IIIa,6
1247,Del Ret,3,58,45,-61,24,1,274.02,-43.78,4.56,962,M2IIIab,6
6452,,17,20,19,18,3,26,39.96,27.97,5.00,1623,M2IIIab,6
6891,,18,21,33,49,7,18,77.27,24.87,5.05,1726,M2IIIab,6
2609,,7,40,31,87,1,12,126.22,27.72,5.07,1759,M2IIIab,6
6107,20Nu 1CrB,16,22,21,33,47,57,54.82,44.55,5.20,2062,M2IIIab,6
5334,,14,12,4,69,25,57,112.88,46.09,5.24,2148,M2IIIab,6
8289,7    Peg,21,42,16,5,40,48,61.36,-33.75,5.30,2316,M2IIIab,6
3866,16Psi Leo,9,43,44,14,1,18,219.89,44.44,5.35,2435,M2IIIab,6
5181,87    Vir,13,47,25,-17,51,36,321.28,43.01,5.43,2648,M2IIIab,6
7851,46Ome2Cyg,20,31,19,49,13,13,86.41,5.73,5.44,2681,M2IIIab,6
8306,,21,43,6,41,9,18,89.00,-8.99,5.49,2844,M2IIIab,6
2965,,7,41,52,13,28,50,206.28,17.17,5.77,3906,M2IIIab,6
450,,1,34,49,18,27,38,137.11,-43.21,5.89,4446,M2IIIab,6
6584,,17,39,58,31,12,9,55.68,28.02,6.03,5231,M2IIIab,6
6306,,16,56,6,50,2,20,76.80,38.69,6.56,8632,M2IIIab,6
5154,83    UMa,13,40,44,54,40,54,108.18,61.01,4.66,1082,M2IIIabBa0.5,6
4449,,11,32,54,-31,5,14,283.75,28.84,5.04,1698,M2IIIb,6
2999,,7,46,39,37,31,3,182.32,26.50,5.18,2011,M2IIIb,6
4745,73    UMa,12,27,35,55,42,46,129.89,61.09,5.70,3598,M2IIIb,6
4128,,10,30,39,-61,21,22,286.87,-2.95,6.43,7951,M2IIIe,6
6428,,17,18,19,-16,18,43,7.30,12.09,6.43,7965,M2IIIFe1,6
1939,,5,40,42,31,55,15,176.90,0.67,6.11,5666,M2IIIS,6
4938,,13,4,48,-41,11,48,305.64,21.61,6.26,6703,M3-4III,6
5603,20Sig Lib,15,4,4,-25,16,55,337.22,28.62,3.29,233,M3-III,6
5490,34    Boo,14,43,25,26,31,40,38.00,65.06,4.81,1277,M3-III,6
6128,,16,27,44,-7,35,53,7.43,27.22,5.23,2128,M3-III,6
2703,,7,13,23,51,25,44,165.80,24.18,5.47,2764,M3-III,6
4902,40Psi Vir,12,54,21,-9,32,20,304.14,53.33,4.79,1246,M3-IIICa-1,6
6765,98    Her,18,6,2,22,13,8,48.53,19.55,5.06,1744,M3-IIIZrO 0+,6
4763,Gam Cru,12,31,10,-57,6,48,300.17,5.65,1.63,24,M3.5III,6
6832,Eta Sgr,18,17,38,-36,45,42,356.44,-9.68,3.11,194,M3.5III,6
5226,10    Dra,13,51,26,64,43,24,112.77,51.21,4.65,1064,M3.5III,6
6010,47    Ser,16,8,28,8,32,3,20.71,39.95,5.73,3736,M3.5IIIa,6
